TamGrafo,Ktoken,xg,xf_kg,C,xg2,xf_kg2,C2
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
5,2,3,3,0,3,3,0
5,2,3,3,0,3,3,0
5,2,3,3,0,3,3,0
5,2,3,3,0,3,3,0
5,2,3,3,0,3,3,0
5,2,3,3,0,3,3,0
5,2,3,3,0,3,3,0
5,2,3,3,0,3,3,0
5,2,3,3,0,3,3,0
5,2,3,3,0,3,3,0
5,2,3,3,0,3,3,0
5,2,3,3,0,3,3,0
5,2,3,3,0,3,3,0
5,2,3,3,0,3,3,0
5,2,3,3,0,3,3,0
5,2,3,3,0,3,3,0
5,2,3,3,0,3,3,0
5,2,3,3,0,3,3,0
5,2,3,3,0,3,3,0
5,2,3,3,0,3,3,0
6,2,3,3,0,3,3,0
6,3,3,3,0,3,3,0
6,2,3,3,0,3,3,0
6,3,3,3,0,3,3,0
6,2,3,3,0,3,3,0
6,3,3,3,0,3,3,0
6,2,3,3,0,3,3,0
6,3,3,3,0,3,3,0
6,2,3,3,0,3,3,0
6,3,3,3,0,3,3,0
6,2,3,3,0,3,3,0
6,3,3,3,0,3,3,0
6,2,3,3,0,3,3,0
6,3,3,3,0,3,3,0
6,2,3,3,0,3,3,0
6,3,3,3,0,3,3,0
6,2,3,3,0,3,3,0
6,3,3,3,0,3,3,0
6,2,3,3,0,3,3,0
6,3,3,3,0,3,3,0
6,2,3,3,0,3,3,0
6,3,3,3,0,3,3,0
6,2,3,3,0,3,3,0
6,3,3,3,0,3,3,0
6,2,3,3,0,3,3,0
6,3,3,3,0,3,3,0
6,2,3,3,0,3,3,0
6,3,3,3,0,3,3,0
6,2,3,3,0,3,3,0
6,3,3,3,0,3,3,0
6,2,3,3,0,3,3,0
6,3,3,3,0,3,3,0
6,2,3,3,0,3,3,0
6,3,3,3,0,3,3,0
6,2,3,3,0,3,3,0
6,3,3,3,0,3,3,0
6,2,3,3,0,3,3,0
6,3,3,3,0,3,3,0
6,2,3,3,0,3,3,0
6,3,3,3,0,3,3,0
7,2,3,3,0,3,3,0
7,3,3,3,0,3,3,0
7,2,3,3,0,3,3,0
7,3,3,3,0,3,3,0
7,2,3,3,0,3,3,0
7,3,3,3,0,3,3,0
7,2,3,3,0,3,3,0
7,3,3,3,0,3,3,0
7,2,3,3,0,3,3,0
7,3,3,3,0,3,3,0
7,2,3,3,0,3,3,0
7,3,3,3,0,3,3,0
7,2,3,3,0,3,3,0
7,3,3,3,0,3,3,0
7,2,3,3,0,3,3,0
7,3,3,3,0,3,3,0
7,2,3,3,0,3,3,0
7,3,3,3,0,3,3,0
7,2,3,3,0,3,3,0
7,3,3,3,0,3,3,0
7,2,3,3,0,3,3,0
7,3,3,3,0,3,3,0
